product Name,﻿Brand,Size,Balloon Capacity,Absorbancy,Calories,Color,Circumference,Container Type,Cover options,cuff size ,Cushion shape,Dimension Matrix,FabricOption,Flavour,Flow rate,French Gauge,item Options,Item type Matrix,length,Packaging,PadSize,Patient Size,quantity,Resistance,SeatDepth,SeatWidth,shape,Size Range,sterile,Strength,Sun Protection Factor,User Type,Volume,Weight Range,Material,Usage,Watts,Weight Capacity,Type
INTERNAL ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Item Name/Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Display Name/Code,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vendor Name/Code,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRODUCT NAME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Units Type,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STOCK UNITS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PURCHASE UNITS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SALE UNITS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shipping Vendor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shipping Category,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shipping Rate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shipping Brand Condition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Department,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCKESSON ITEM #,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INDEMED ITEM #,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INDEMED UOM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FABRICATION ITEM #,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NDC ITEM #,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UOM TO EACH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UPC Code,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HCPCS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNSPCS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GTIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Track Landed Cost,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Purchase Price,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Purchase Description,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Copy from Sales Order ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Drop Ship Item ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Match Bill To Receipt ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Manufacturer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MPN ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Manufacturer Country ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vendor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Preferred,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Purchase Prices (Vendor),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
